"";"Фамилия";"ДатаРазмещения";"стоимость";"Марка";"Категория";"Клиент";"СтранаПолучателя";"СтранаПоставщика";"Цена"
"390";"Белова";1997-01-01;3360;"Chang";"Напитки";"Rattlesnake Canyon Grocery";"США";"Россия";855
"391";"Воронова";1997-02-14;5880;"Chang";"Напитки";"Ricardo Adocicados";"Бразилия";"Россия";855
"392";"Воронова";1997-02-19;4233,59999299049;"Chang";"Напитки";"QUICK-Stop";"Германия";"Россия";855
"393";"Воронова";1997-04-02;2267,99999624491;"Chang";"Напитки";"La maison d'Asie";"Франция";"Россия";855
"394";"Ясенева";1997-04-09;855;"Chang";"Напитки";"LINO-Delicateses";"Венесуэлла";"Россия";855
"395";"Акбаев";1997-04-11;4210;"Chang";"Напитки";"Hungry Owl All-Night Grocers";"Ирландия";"Россия";855
"396";"Бабкина";1997-04-22;8209,5;"Chang";"Напитки";"Ernst Handel";"Австрия";"Россия";855
"397";"Новиков";1997-05-19;6820,1999887079;"Chang";"Напитки";"Hanari Carnes";"Бразилия";"Россия";855
"398";"Воронова";1997-06-26;5999,24999529496;"Chang";"Напитки";"Ottilies Kaseladen";"Германия";"Россия";855
"399";"Кралев";1997-07-11;2020,79999247193;"Chang";"Напитки";"Piccolo und mehr";"Австрия";"Россия";855
"400";"Бабкина";1997-08-20;4420,5;"Chang";"Напитки";"LINO-Delicateses";"Венесуэлла";"Россия";855
"401";"Белова";1997-09-10;2683,87498117983;"Chang";"Напитки";"Furia Bacalhau e Frutos do Mar";"Португалия";"Россия";855
"402";"Кралев";1997-09-12;2105;"Chang";"Напитки";"Richter Supermarkt";"Швейцария";"Россия";855
"403";"Белова";1997-09-17;2526;"Chang";"Напитки";"France restauration";"Франция";"Россия";855
"404";"Воронова";1997-10-09;12998,3749898057;"Chang";"Напитки";"Ernst Handel";"Австрия";"Россия";855
"405";"Кротов";1997-11-05;1999,74999843165;"Chang";"Напитки";"Bon app'";"Франция";"Россия";855
"406";"Ясенева";1997-11-11;8420;"Chang";"Напитки";"Hungry Owl All-Night Grocers";"Ирландия";"Россия";855
"407";"Бабкина";1997-12-04;15155,9999749064;"Chang";"Напитки";"QUICK-Stop";"Германия";"Россия";855
"408";"Бабкина";1997-12-31;421;"Chang";"Напитки";"Victuailles en stock";"Франция";"Россия";855
"409";"Бабкина";1998-01-27;2683,87498117983;"Chang";"Напитки";"Old World Delicatessen";"США";"Россия";855
"410";"Кротов";1998-02-05;4199,47499670647;"Chang";"Напитки";"Godos Cocina Tipica";"Испания";"Россия";855
"411";"Бабкина";1998-02-10;2105;"Chang";"Напитки";"Wilman Kala";"Финляндия";"Россия";855
"412";"Воронова";1998-02-12;2399,69999811798;"Chang";"Напитки";"Let's Stop N Shop";"США";"Россия";855
"413";"Бабкина";1998-02-24;4420,5;"Chang";"Напитки";"Hanari Carnes";"Бразилия";"Россия";855
"414";"Воронова";1998-04-15;4420,5;"Chang";"Напитки";"Eastern Connection";"Великобритания";"Россия";855
"415";"Белова";1996-08-20;5183,9999806881;"Genen Shouyu";"Приправы";"QUICK-Stop";"Германия";"Япония";697,5
"416";"Воронова";1996-08-30;2592;"Genen Shouyu";"Приправы";"Rattlesnake Canyon Grocery";"США";"Япония";697,5
"417";"Акбаев";1996-09-30;2880;"Genen Shouyu";"Приправы";"Lonesome Pine Restaurant";"США";"Япония";697,5
"418";"Воронова";1996-11-07;1835,9999871254;"Genen Shouyu";"Приправы";"Die Wandernde Kuh";"Германия";"Япония";697,5
"419";"Крылова";1996-11-14;1728;"Genen Shouyu";"Приправы";"Pericles Comidas clasicas";"Мексика";"Япония";697,5
"420";"Акбаев";1996-12-03;1835,9999871254;"Genen Shouyu";"Приправы";"Chop-suey Chinese";"Швейцария";"Япония";697,5
"421";"Кралев";1997-01-07;1440;"Genen Shouyu";"Приправы";"Queen Cozinha";"Бразилия";"Япония";697,5
"422";"Бабкина";1997-01-14;3456;"Genen Shouyu";"Приправы";"La maison d'Asie";"Франция";"Япония";697,5
"423";"Кротов";1997-03-17;2160;"Genen Shouyu";"Приправы";"Princesa Isabel Vinhos";"Португалия";"Япония";697,5
"424";"Воронова";1997-04-30;5759,99997854233;"Genen Shouyu";"Приправы";"Lehmanns Marktstand";"Германия";"Япония";697,5
"425";"Воронова";1997-05-05;1223,99999141693;"Genen Shouyu";"Приправы";"Wartian Herkku";"Финляндия";"Япония";697,5
"426";"Бабкина";1997-06-23;1800;"Genen Shouyu";"Приправы";"Tortuga Restaurante";"Мексика";"Япония";697,5
"427";"Воронова";1997-07-07;3600;"Genen Shouyu";"Приправы";"Mere Paillarde";"Канада";"Япония";697,5
"428";"Кралев";1997-07-24;540;"Genen Shouyu";"Приправы";"Du monde entier";"Франция";"Япония";697,5
"429";"Акбаев";1997-07-25;1080;"Genen Shouyu";"Приправы";"Wolski  Zajazd";"Польша";"Япония";697,5
"430";"Воронова";1997-08-12;4500;"Genen Shouyu";"Приправы";"Blondel pere et fils";"Франция";"Япония";697,5
"431";"Ясенева";1997-08-27;2025;"Genen Shouyu";"Приправы";"Hungry Owl All-Night Grocers";"Ирландия";"Япония";697,5
"432";"Белова";1997-10-01;4725;"Genen Shouyu";"Приправы";"Berglunds snabbkop";"Швеция";"Япония";697,5
"433";"Новиков";1997-10-03;5400;"Genen Shouyu";"Приправы";"QUICK-Stop";"Германия";"Япония";697,5
"434";"Бабкина";1997-10-10;719,999997317791;"Genen Shouyu";"Приправы";"Save-a-lot Markets";"США";"Япония";697,5
"435";"Крылова";1997-11-04;9000;"Genen Shouyu";"Приправы";"LINO-Delicateses";"Венесуэлла";"Япония";697,5
"436";"Новиков";1997-11-24;1440;"Genen Shouyu";"Приправы";"North/South";"Великобритания";"Япония";697,5
"437";"Бабкина";1998-01-19;540;"Genen Shouyu";"Приправы";"LINO-Delicateses";"Венесуэлла";"Япония";697,5
"438";"Воронова";1998-01-22;11519,9999570847;"Genen Shouyu";"Приправы";"Save-a-lot Markets";"США";"Япония";697,5
"439";"Воронова";1998-02-02;3059,99997854233;"Genen Shouyu";"Приправы";"HILARION-Abastos";"Венесуэлла";"Япония";697,5
"440";"Кротов";1998-02-04;7200;"Genen Shouyu";"Приправы";"Seven Seas Imports";"Великобритания";"Япония";697,5
"441";"Ясенева";1998-02-24;3419,99999731779;"Genen Shouyu";"Приправы";"Wellington Importadora";"Бразилия";"Япония";697,5
"442";"Бабкина";1998-02-26;1800;"Genen Shouyu";"Приправы";"Godos Cocina Tipica";"Испания";"Япония";697,5
"443";"Бабкина";1998-03-02;8100;"Genen Shouyu";"Приправы";"Bottom-Dollar Markets";"Канада";"Япония";697,5
"444";"Воронова";1998-03-09;3780;"Genen Shouyu";"Приправы";"Wellington Importadora";"Бразилия";"Япония";697,5
"445";"Бабкина";1998-04-06;720;"Genen Shouyu";"Приправы";"The Cracker Box";"США";"Япония";697,5
"446";"Новиков";1998-04-07;360;"Genen Shouyu";"Приправы";"Wilman Kala";"Финляндия";"Япония";697,5
"447";"Бабкина";1998-04-07;1440;"Genen Shouyu";"Приправы";"Great Lakes Food Market";"США";"Япония";697,5
"448";"Акбаев";1998-04-15;1619,99999731779;"Genen Shouyu";"Приправы";"Wartian Herkku";"Финляндия";"Япония";697,5
"449";"Акбаев";1998-04-17;8100;"Genen Shouyu";"Приправы";"Save-a-lot Markets";"США";"Япония";697,5
"450";"Новиков";1998-04-20;1800;"Genen Shouyu";"Приправы";"Supremes delices";"Бельгия";"Япония";697,5
"451";"Кралев";1998-04-24;3375;"Genen Shouyu";"Приправы";"Eastern Connection";"Великобритания";"Япония";697,5
"452";"Новиков";1998-05-05;6119,99995708466;"Genen Shouyu";"Приправы";"Lehmanns Marktstand";"Германия";"Япония";697,5
"453";"Новиков";1996-07-25;9360;"Vegie-spread";"Приправы";"Blondel pere et fils";"Франция";"Австралия";1975,5
"454";"Крылова";1996-08-13;3510;"Vegie-spread";"Приправы";"Lehmanns Marktstand";"Германия";"Австралия";1975,5
"455";"Воронова";1996-08-30;4680;"Vegie-spread";"Приправы";"Rattlesnake Canyon Grocery";"США";"Австралия";1975,5
"456";"Воронова";1996-09-10;12480;"Vegie-spread";"Приправы";"Supremes delices";"Бельгия";"Австралия";1975,5
"457";"Кралев";1996-10-02;2496;"Vegie-spread";"Приправы";"Tortuga Restaurante";"Мексика";"Австралия";1975,5
"458";"Воронова";1996-10-25;6240;"Vegie-spread";"Приправы";"Old World Delicatessen";"США";"Австралия";1975,5
"459";"Новиков";1996-10-28;20747,9999837279;"Vegie-spread";"Приправы";"Mere Paillarde";"Канада";"Австралия";1975,5
"460";"Бабкина";1996-11-05;10108,799983263;"Vegie-spread";"Приправы";"Rattlesnake Canyon Grocery";"США";"Австралия";1975,5
"461";"Бабкина";1997-01-15;624;"Vegie-spread";"Приправы";"Hungry Coyote Import Store";"США";"Австралия";1975,5
"462";"Воронова";1997-01-30;11231,9999581575;"Vegie-spread";"Приправы";"Ernst Handel";"Австрия";"Австралия";1975,5
"463";"Воронова";1997-01-30;11700;"Vegie-spread";"Приправы";"Bottom-Dollar Markets";"Канада";"Австралия";1975,5
"464";"Бабкина";1997-02-12;3120;"Vegie-spread";"Приправы";"Berglunds snabbkop";"Швеция";"Австралия";1975,5
"465";"Кралев";1997-05-01;8774,99998547137;"Vegie-spread";"Приправы";"Seven Seas Imports";"Великобритания";"Австралия";1975,5
"466";"Бабкина";1997-05-08;15600;"Vegie-spread";"Приправы";"Piccolo und mehr";"Австрия";"Австралия";1975,5
"467";"Кралев";1997-05-28;2807,99999535084;"Vegie-spread";"Приправы";"Godos Cocina Tipica";"Испания";"Австралия";1975,5
"468";"Воронова";1997-06-10;5927,99999535084;"Vegie-spread";"Приправы";"Rattlesnake Canyon Grocery";"США";"Австралия";1975,5
"469";"Кралев";1997-06-19;7020;"Vegie-spread";"Приправы";"Antonio Moreno Taqueria";"Мексика";"Австралия";1975,5
"470";"Кротов";1997-07-22;39000;"Vegie-spread";"Приправы";"Save-a-lot Markets";"США";"Австралия";1975,5
"471";"Новиков";1997-09-30;9359,99996513128;"Vegie-spread";"Приправы";"Piccolo und mehr";"Австрия";"Австралия";1975,5
"472";"Крылова";1997-10-08;7800;"Vegie-spread";"Приправы";"White Clover Markets";"США";"Австралия";1975,5
"473";"Воронова";1997-10-09;2963,99999767542;"Vegie-spread";"Приправы";"Ernst Handel";"Австрия";"Австралия";1975,5
"474";"Кротов";1997-10-22;7897,5;"Vegie-spread";"Приправы";"Save-a-lot Markets";"США";"Австралия";1975,5
"475";"Новиков";1997-11-03;7409,99999418855;"Vegie-spread";"Приправы";"Reggiani Caseifici";"Италия";"Австралия";1975,5
"476";"Белова";1997-12-11;12870;"Vegie-spread";"Приправы";"Ernst Handel";"Австрия";"Австралия";1975,5
"477";"Крылова";1997-12-24;10237,5;"Vegie-spread";"Приправы";"Ernst Handel";"Австрия";"Австралия";1975,5
"478";"Воронова";1997-12-29;11700;"Vegie-spread";"Приправы";"Bolido Comidas preparadas";"Испания";"Австралия";1975,5
"479";"Крылова";1998-01-26;2340;"Vegie-spread";"Приправы";"Rattlesnake Canyon Grocery";"США";"Австралия";1975,5
"480";"Воронова";1998-01-30;16380;"Vegie-spread";"Приправы";"White Clover Markets";"США";"Австралия";1975,5
"481";"Ясенева";1998-02-05;5927,99999535084;"Vegie-spread";"Приправы";"Bon app'";"Франция";"Австралия";1975,5
"482";"Кралев";1998-02-16;5850;"Vegie-spread";"Приправы";"Du monde entier";"Франция";"Австралия";1975,5
"483";"Бабкина";1998-02-26;4680;"Vegie-spread";"Приправы";"Godos Cocina Tipica";"Испания";"Австралия";1975,5
"484";"Новиков";1998-02-27;3900;"Vegie-spread";"Приправы";"Tortuga Restaurante";"Мексика";"Австралия";1975,5
"485";"Кротов";1998-03-03;5850;"Vegie-spread";"Приправы";"Hanari Carnes";"Бразилия";"Австралия";1975,5
"486";"Новиков";1998-03-13;2340;"Vegie-spread";"Приправы";"Bottom-Dollar Markets";"Канада";"Австралия";1975,5
"487";"Воронова";1998-03-24;2340;"Vegie-spread";"Приправы";"La corne d'abondance";"Франция";"Австралия";1975,5
"488";"Новиков";1998-04-29;4680;"Vegie-spread";"Приправы";"Ricardo Adocicados";"Бразилия";"Австралия";1975,5
"489";"Белова";1998-05-01;27026,9999552518;"Vegie-spread";"Приправы";"Save-a-lot Markets";"США";"Австралия";1975,5
"490";"Воронова";1996-08-14;73;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Romero y tomillo";"Испания";"США";947,25
"491";"Бабкина";1996-08-16;1314;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"LILA-Supermercado";"Венесуэлла";"США";947,25
"492";"Воронова";1996-09-06;1095;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Ricardo Adocicados";"Бразилия";"США";947,25
"493";"Воронова";1996-10-15;693,499999456108;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Split Rail Beer & Ale";"США";"США";947,25
"494";"Новиков";1996-11-04;5840;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"QUICK-Stop";"Германия";"США";947,25
"495";"Новиков";1997-01-14;1248,29999902099;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Familia Arquibaldo";"Бразилия";"США";947,25
"496";"Крылова";1997-01-16;1460;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Wartian Herkku";"Финляндия";"США";947,25
"497";"Крылова";1997-01-21;248,199998259544;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Que Delicia";"Бразилия";"США";947,25
"498";"Бабкина";1997-02-06;875,999996736646;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Toms Spezialitaten";"Германия";"США";947,25
"499";"Акбаев";1997-02-14;788,399998694658;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Toms Spezialitaten";"Германия";"США";947,25
"500";"Воронова";1997-02-14;2920;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Ricardo Adocicados";"Бразилия";"США";947,25
"501";"Кротов";1997-03-04;1533;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Supremes delices";"Бельгия";"США";947,25
"502";"Новиков";1997-03-26;365;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Queen Cozinha";"Бразилия";"США";947,25
"503";"Кралев";1997-05-28;920;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Godos Cocina Tipica";"Испания";"США";947,25
"504";"Акбаев";1997-06-02;2575,99999040365;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Save-a-lot Markets";"США";"США";947,25
"505";"Воронова";1997-08-05;460;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Island Trading";"Великобритания";"США";947,25
"506";"Крылова";1997-08-07;1241,99999794364;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Frankenversand";"Германия";"США";947,25
"507";"Воронова";1997-08-27;2760;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Que Delicia";"Бразилия";"США";947,25
"508";"Крылова";1997-09-01;828;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Die Wandernde Kuh";"Германия";"США";947,25
"509";"Новиков";1997-09-22;644;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Tortuga Restaurante";"Мексика";"США";947,25
"510";"Бабкина";1997-09-25;2483,99999588728;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Great Lakes Food Market";"США";"США";947,25
"511";"Бабкина";1997-10-08;483;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"LINO-Delicateses";"Венесуэлла";"США";947,25
"512";"Белова";1997-10-20;460;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Franchi S.p.A.";"Италия";"США";947,25
"513";"Кротов";1997-10-21;1104;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Save-a-lot Markets";"США";"США";947,25
"514";"Белова";1997-12-22;4369,99999657273;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"QUICK-Stop";"Германия";"США";947,25
"515";"Воронова";1997-12-30;2097,59999835491;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Wellington Importadora";"Бразилия";"США";947,25
"516";"Крылова";1998-01-02;1380;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"LINO-Delicateses";"Венесуэлла";"США";947,25
"517";"Бабкина";1998-01-14;184;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Santu Gourmet";"Норвегия";"США";947,25
"518";"Воронова";1998-01-22;883,199996709824;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Save-a-lot Markets";"США";"США";947,25
"519";"Воронова";1998-02-06;2300;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Berglunds snabbkop";"Швеция";"США";947,25
"520";"Белова";1998-02-26;1104;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Wilman Kala";"Финляндия";"США";947,25
"521";"Воронова";1998-03-04;644;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Ana Trujillo Emparelados";"Мексика";"США";947,25
"522";"Новиков";1998-03-23;1104;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Toms Spezialitaten";"Германия";"США";947,25
"523";"Белова";1998-04-09;4369,99999657273;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Frankenversand";"Германия";"США";947,25
"524";"Ясенева";1998-04-14;3220;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Hanari Carnes";"Бразилия";"США";947,25
"525";"Кралев";1998-05-01;3864;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"White Clover Markets";"США";"США";947,25
"526";"Воронова";1998-05-06;690;"Louisiana Fiery Hot Pepper Sauce";"Приправы";"Bon app'";"Франция";"США";947,25
"527";"Воронова";1996-07-09;24623,9999806881;"Louisiana Hot Spiced Okra";"Приправы";"Supremes delices";"Бельгия";"США";765
"528";"Акбаев";1996-08-02;3888;"Louisiana Hot Spiced Okra";"Приправы";"Rattlesnake Canyon Grocery";"США";"США";765
"529";"Белова";1996-08-28;12960;"Louisiana Hot Spiced Okra";"Приправы";"Tradiero Hipermercados";"Бразилия";"США";765
"530";"Кротов";1996-12-04;5832;"Louisiana Hot Spiced Okra";"Приправы";"Queen Cozinha";"Бразилия";"США";765
"531";"Бабкина";1996-12-16;18144;"Louisiana Hot Spiced Okra";"Приправы";"Berglunds snabbkop";"Швеция";"США";765
"532";"Бабкина";1997-04-22;31590;"Louisiana Hot Spiced Okra";"Приправы";"Ernst Handel";"Австрия";"США";765
"533";"Кралев";1997-05-01;10934,9999818951;"Louisiana Hot Spiced Okra";"Приправы";"Seven Seas Imports";"Великобритания";"США";765
"534";"Кралев";1997-07-09;13607,9999493062;"Louisiana Hot Spiced Okra";"Приправы";"Lehmanns Marktstand";"Германия";"США";765
"535";"Крылова";1997-09-08;17010;"Louisiana Hot Spiced Okra";"Приправы";"Hungry Coyote Import Store";"США";"США";765
"536";"Ясенева";1998-01-13;4050;"Louisiana Hot Spiced Okra";"Приправы";"Rancho grande";"Аргентина";"США";765
"537";"Воронова";1998-02-10;15389,9999879301;"Louisiana Hot Spiced Okra";"Приправы";"QUICK-Stop";"Германия";"США";765
"538";"Воронова";1998-03-05;4050;"Louisiana Hot Spiced Okra";"Приправы";"La corne d'abondance";"Франция";"США";765
"539";"Ясенева";1998-03-16;38474,9999698251;"Louisiana Hot Spiced Okra";"Приправы";"Around the Horn";"Великобритания";"США";765
"540";"Крылова";1998-03-30;12150;"Louisiana Hot Spiced Okra";"Приправы";"Oceano Atlantico Ltda.";"Аргентина";"США";765
"541";"Бабкина";1998-04-14;12150;"Louisiana Hot Spiced Okra";"Приправы";"QUICK-Stop";"Германия";"США";765
"542";"Белова";1998-05-06;777,600000724196;"Louisiana Hot Spiced Okra";"Приправы";"Rattlesnake Canyon Grocery";"США";"США";765
"543";"Бабкина";1996-07-10;2000;"Original Frankfurter grune Sosse";"Приправы";"Hanari Carnes";"Бразилия";"Германия";585
"544";"Акбаев";1996-08-02;4000;"Original Frankfurter grune Sosse";"Приправы";"Rattlesnake Canyon Grocery";"США";"Германия";585
"545";"Бабкина";1996-08-05;1424,99999888241;"Original Frankfurter grune Sosse";"Приправы";"QUICK-Stop";"Германия";"Германия";585
"546";"Белова";1996-10-09;400;"Original Frankfurter grune Sosse";"Приправы";"Koniglich Essen";"Германия";"Германия";585
"547";"Кралев";1996-10-22;1999,99999254942;"Original Frankfurter grune Sosse";"Приправы";"Hungry Owl All-Night Grocers";"Ирландия";"Германия";585
"548";"Воронова";1996-10-30;4479,9999833107;"Original Frankfurter grune Sosse";"Приправы";"Frankenversand";"Германия";"Германия";585
"549";"Акбаев";1996-11-18;3000;"Original Frankfurter grune Sosse";"Приправы";"Die Wandernde Kuh";"Германия";"Германия";585
"550";"Кротов";1996-11-21;6649,99999478459;"Original Frankfurter grune Sosse";"Приправы";"Seven Seas Imports";"Великобритания";"Германия";585
"551";"Воронова";1996-11-26;2000;"Original Frankfurter grune Sosse";"Приправы";"Drachenblut Delikatessen";"Германия";"Германия";585
"552";"Белова";1996-12-05;3000;"Original Frankfurter grune Sosse";"Приправы";"Wolski  Zajazd";"Польша";"Германия";585
"553";"Белова";1996-12-09;3989,99999687076;"Original Frankfurter grune Sosse";"Приправы";"Mere Paillarde";"Канада";"Германия";585
"554";"Акбаев";1996-12-23;5399,9999910593;"Original Frankfurter grune Sosse";"Приправы";"Ernst Handel";"Австрия";"Германия";585
"555";"Белова";1996-12-25;3200;"Original Frankfurter grune Sosse";"Приправы";"Save-a-lot Markets";"США";"Германия";585
"556";"Акбаев";1997-01-23;1400;"Original Frankfurter grune Sosse";"Приправы";"Gourmet Lanchonetes";"Бразилия";"Германия";585
"557";"Акбаев";1997-02-14;269,999999552965;"Original Frankfurter grune Sosse";"Приправы";"Toms Spezialitaten";"Германия";"Германия";585
"558";"Ясенева";1997-03-14;2974,99997913837;"Original Frankfurter grune Sosse";"Приправы";"Supremes delices";"Бельгия";"Германия";585
"559";"Кралев";1997-04-04;1899,99999850988;"Original Frankfurter grune Sosse";"Приправы";"Tradiero Hipermercados";"Бразилия";"Германия";585
"560";"Бабкина";1997-05-14;2500;"Original Frankfurter grune Sosse";"Приправы";"Lehmanns Marktstand";"Германия";"Германия";585
"561";"Белова";1997-05-14;3750;"Original Frankfurter grune Sosse";"Приправы";"Richter Supermarkt";"Швейцария";"Германия";585
"562";"Кротов";1997-05-27;5843,74995902181;"Original Frankfurter grune Sosse";"Приправы";"QUICK-Stop";"Германия";"Германия";585
"563";"Новиков";1997-05-30;3750;"Original Frankfurter grune Sosse";"Приправы";"Wartian Herkku";"Финляндия";"Германия";585
"564";"Воронова";1997-06-10;712,499999441206;"Original Frankfurter grune Sosse";"Приправы";"Rattlesnake Canyon Grocery";"США";"Германия";585
"565";"Белова";1997-06-12;5999,99997764826;"Original Frankfurter grune Sosse";"Приправы";"Hungry Owl All-Night Grocers";"Ирландия";"Германия";585
"566";"Кротов";1997-06-16;3499,99998696148;"Original Frankfurter grune Sosse";"Приправы";"Rattlesnake Canyon Grocery";"США";"Германия";585
"567";"Бабкина";1997-06-23;2500;"Original Frankfurter grune Sosse";"Приправы";"Tortuga Restaurante";"Мексика";"Германия";585
"568";"Воронова";1997-06-30;5937,49999534339;"Original Frankfurter grune Sosse";"Приправы";"Blondel pere et fils";"Франция";"Германия";585
"569";"Кралев";1997-09-05;2374,99999813735;"Original Frankfurter grune Sosse";"Приправы";"Queen Cozinha";"Бразилия";"Германия";585
"570";"Белова";1997-09-15;899,999998509884;"Original Frankfurter grune Sosse";"Приправы";"Die Wandernde Kuh";"Германия";"Германия";585
"571";"Белова";1997-09-24;1875;"Original Frankfurter grune Sosse";"Приправы";"Old World Delicatessen";"США";"Германия";585
"572";"Ясенева";1997-10-15;2500;"Original Frankfurter grune Sosse";"Приправы";"HILARION-Abastos";"Венесуэлла";"Германия";585
"573";"Крылова";1997-10-29;6250;"Original Frankfurter grune Sosse";"Приправы";"Save-a-lot Markets";"США";"Германия";585
"574";"Кротов";1997-11-05;356,249999720603;"Original Frankfurter grune Sosse";"Приправы";"Bon app'";"Франция";"Германия";585
"575";"Акбаев";1997-11-19;1000;"Original Frankfurter grune Sosse";"Приправы";"Piccolo und mehr";"Австрия";"Германия";585
"576";"Бабкина";1997-12-08;6250;"Original Frankfurter grune Sosse";"Приправы";"Around the Horn";"Великобритания";"Германия";585
"577";"Белова";1997-12-11;6999,99997392297;"Original Frankfurter grune Sosse";"Приправы";"Ernst Handel";"Австрия";"Германия";585
"578";"Воронова";1997-12-11;187,5;"Original Frankfurter grune Sosse";"Приправы";"Folk och fa HB";"Швеция";"Германия";585
"579";"Белова";1997-12-15;1899,99999850988;"Original Frankfurter grune Sosse";"Приправы";"Ernst Handel";"Австрия";"Германия";585
"580";"Ясенева";1997-12-17;125;"Original Frankfurter grune Sosse";"Приправы";"Cactus Comidas para llevar";"Аргентина";"Германия";585
"581";"Воронова";1997-12-18;1250;"Original Frankfurter grune Sosse";"Приправы";"Hanari Carnes";"Бразилия";"Германия";585
"582";"Кротов";1998-01-02;1799,99999701977;"Original Frankfurter grune Sosse";"Приправы";"Reggiani Caseifici";"Италия";"Германия";585
"583";"Акбаев";1998-01-12;4375;"Original Frankfurter grune Sosse";"Приправы";"Blondel pere et fils";"Франция";"Германия";585
"584";"Акбаев";1998-01-15;1012,49999832362;"Original Frankfurter grune Sosse";"Приправы";"Ottilies Kaseladen";"Германия";"Германия";585
"585";"Бабкина";1998-01-27;1750;"Original Frankfurter grune Sosse";"Приправы";"Old World Delicatessen";"США";"Германия";585
"586";"Белова";1998-02-13;4375;"Original Frankfurter grune Sosse";"Приправы";"Hanari Carnes";"Бразилия";"Германия";585
"587";"Кралев";1998-03-11;4125;"Original Frankfurter grune Sosse";"Приправы";"Save-a-lot Markets";"США";"Германия";585
"588";"Воронова";1998-03-12;1250;"Original Frankfurter grune Sosse";"Приправы";"Morgenstern Gesundkost";"Германия";"Германия";585
"589";"Ясенева";1998-03-16;5937,49999534339;"Original Frankfurter grune Sosse";"Приправы";"Around the Horn";"Великобритания";"Германия";585
"590";"Кротов";1998-03-17;2656,24998137355;"Original Frankfurter grune Sosse";"Приправы";"LINO-Delicateses";"Венесуэлла";"Германия";585
"591";"Крылова";1998-03-26;3000;"Original Frankfurter grune Sosse";"Приправы";"Ernst Handel";"Австрия";"Германия";585
"592";"Ясенева";1998-04-10;1875;"Original Frankfurter grune Sosse";"Приправы";"Around the Horn";"Великобритания";"Германия";585
"593";"Новиков";1998-05-05;2500;"Original Frankfurter grune Sosse";"Приправы";"Lehmanns Marktstand";"Германия";"Германия";585
"594";"Новиков";1996-12-19;911,999996602535;"Gula Malacca";"Приправы";"Seven Seas Imports";"Великобритания";"Сингапур";875,25
"595";"Белова";1997-03-05;2051,99999660254;"Gula Malacca";"Приправы";"Vaffeljernet";"Дания";"Сингапур";875,25
"596";"Новиков";1997-04-10;1995;"Gula Malacca";"Приправы";"Pericles Comidas clasicas";"Мексика";"Сингапур";875,25
"597";"Кротов";1997-05-27;8074,99994337559;"Gula Malacca";"Приправы";"QUICK-Stop";"Германия";"Сингапур";875,25
"598";"Бабкина";1997-08-20;1900;"Gula Malacca";"Приправы";"LINO-Delicateses";"Венесуэлла";"Сингапур";875,25
"599";"Белова";1997-10-22;10450;"Gula Malacca";"Приправы";"Save-a-lot Markets";"США";"Сингапур";875,25
"600";"Воронова";1997-11-13;3039,99998867512;"Gula Malacca";"Приправы";"White Clover Markets";"США";"Сингапур";875,25
"601";"Ясенева";1997-11-21;3229,99997735024;"Gula Malacca";"Приправы";"Wartian Herkku";"Финляндия";"Сингапур";875,25
"602";"Бабкина";1997-11-25;380;"Gula Malacca";"Приправы";"Franchi S.p.A.";"Италия";"Сингапур";875,25
